username,userid,profile_location,created_at,text,retweet_count,source,coordinates
"Conan Moore, hypnogogic pugilist 🔰",959968572,"Olympia, WA",2023-01-19 02:01:03,"@drrollergator @HaackRick No, Mr. President, I dissent from your tyrannical proclamation. And to protest, I will try less stuff.",0,Twitter Web App,
Socialist Planning Beyond Capitalism,2468224106,"Olympia, WA",2023-01-17 21:06:27,Whatever you may think of Greta Thunberg the German kops better get ready because you KNOW there’s going to be a hu… https://t.co/1q5WxiaNw2,0,Twitter for iPad,
TNTNEEDHAM,1573746445106442240,"lacey, wa",2023-01-14 21:55:21,@ACTBrigitte If you would act like American and know that’s a peaceful protest not like storming the capitol but th… https://t.co/KkDeWLzEkp,0,Twitter for iPhone,
Willard Eldredge,2181545334,"Tumwater, WA",2023-01-13 16:55:32,@CPhenom69 Au come on the politicians said it was a peaceful protest. Lol,0,Twitter for iPad,
Bj Riggs,1453825102655602688,"Olympia, WA",2023-01-13 06:11:50,@BeatlemaniaUK If I recall the men returned those medals as some sort of protest,0,Twitter for Android,
Stephen B. Kinder 🌊🌊🌊🌊,961722046534238208,"Near Olympia, WA",2023-01-13 05:51:41,Going to be the Same Ignorant Chuds that show up here in Olympia to Protest who knows what. Last year one of the PB… https://t.co/rIZ5d0HJ8a,3,Twitter Web App,
Jackson Maynard,925217686254059520,"Olympia, WA",2023-01-12 19:12:03,@MercierOnPolicy Brilliant - early form of protest art,0,Twitter for iPhone,
Rod Van Mechelen (maga/mgtow/fauci lied),29432755,"Olympia, WA",2023-01-11 12:40:21,"@robreiner Progressives spent the past 6 decades tearing our nation apart. Trump tried to ""drain the swamp"" but… https://t.co/fyCNdGCdMc",0,Twitter Web App,
